茭白,3.0
荸荠,2.8
芋头,2.4
姜,0.8
大蒜,1.8
大蒜,1.2
蒜米,1.8
大葱,1.2
小葱,1.5
蒜苗,2.0
蒜黄,4.8
青蒜,2.0
平菇,3.0
香菇,3.5
白玉菇,3.0
口蘑,7.0
杏鲍菇,2.3
金针菇,2.0
油菜,1.0
小白菜,1.2
棒骨,8.5
猪头,10.0
猪口条,14.0
猪耳,26.0
猪脑,25.0
猪肚,20.0
猪板油,5.5
肥膘肉,4.0
猪腰子,15.0
猪心,9.0
猪肝,7.0
猪肺,3.0
猪皮,4.0
猪肠头,16.0
猪肠,15.0
整牛,33.5
牛前腱,37.0
牛后腱,37.0
牛前腿,34.0
牛后腿,34.0
豌豆苗,4.5
快菜,1.5
苦菊,2.0
穿心莲,1.5
木耳菜,3.0
椰青,6.0
菠萝,1.5
国产凤梨,3.0
圣女果,4.5
百香果,12.0
桑葚,6.0
黑枣,6.0
九九草莓,9.0
杨梅,8.0
蓝莓,15.0
火龙果,5.5
火龙果,4.0
木瓜,5.0
柿饼,6.0
柠檬,4.5
豇豆,2.5
白不老,3.0
油豆,3.0
毛豆,2.3
玉米,1.8
花生,5.0
苦瓜,2.0
丝瓜,1.5
西葫芦,0.6
佛手瓜,3.5
贝贝南瓜,2.0
金丝南瓜,1.1
板栗南瓜,2.8
南北瓜,1.2
尖椒,1.2
红尖椒,2.5
美人椒,7.0
螺丝椒,2.0
柿子椒,1.3
线椒,1.5
杭椒,1.8
小米椒,9.0
彩椒,4.0
白萝卜,0.35
心里美,1.5
卞萝卜,1.1
青萝卜,1.2
青萝卜,0.5
胡萝卜,0.8
胡萝卜,1.0
土豆,0.8
土豆,1.3
葱头,0.85
葱头,0.7
山药,4.5
山药,6.5
莲藕,3.5
红薯,2.2
红薯,2.8
紫薯,2.5
大白菜,0.4
娃娃菜,0.4
小白菜,0.5
圆白菜,1.2
圆白菜,0.5
紫甘蓝,0.8
芹菜,0.8
西芹,2.3
菠菜,1.5
莴笋,0.6
团生菜,0.8
散叶生菜,1.2
罗马生菜,2.5
油菜,0.6
香菜,1.5
茴香,0.8
韭菜,0.8
苦菊,1.2
油麦菜,0.6
散菜花,1.5
油麦菜,1.0
奶白菜,1.5
散生菜,1.5
香葱,2.0
茼蒿,4.0
蒿子秆,2.0
水萝卜,2.0
樱桃萝卜,3.0
香芹,2.0
菠菜,3.5
苋菜,2.0
菊花菜,1.0
青蒜,1.5
盖菜,2.0
芥兰,2.0
菜心,1.5
空心菜,2.0
鸡毛菜,3.0
荆芥,4.0
紫苏叶,4.5
牛腰窝,35.0
牛柳,37.0
精牛柳,38.0
牛腩,35.0
牛林,35.0
牛油,5.0
牛金钱腱,50.0
牛筋头巴脑,32.0
牛骨,5.0
牛排骨,30.0
牛板筋,36.0
牛尾,32.0
牛百叶,45.0
牛上脑,34.0
整羊,21.0
去骨羊前腿,33.0
去骨羊后腿,34.0
羊腰窝,31.0
羊肉片,34.0
羊腰子,15.0
羊蝎子,14.0
羊蝎子,24.0
羊排骨,24.0
羊尾巴油,8.0
羊小腿,21.0
羊腱子肉,34.0
羊上脑,33.0
羊骨头,10.5
羊腩,23.0
羊里脊,33.0
淘汰鸡,11.0
淘汰鸡,10.5
仔鸡,8.0
肉鸡,7.5
鸡胸,7.5
鸡翅,11.5
鸡翅尖,7.0
鸡翅中,24.0
鸡翅根,8.8
鸡边腿,7.0
鸡排腿,8.0
鸡琵琶腿,8.5
鸡胗,13.0
鸡爪,22.0
鸡心,6.3
鸡肝,3.0
鸡脖子,5.5
鸡头,3.0
鸡架子,3.0
白条乌鸡,12.0
黑爪公鸡,14.0
白条湖鸭,7.0
鸭腿,7.0
箱鸡蛋,199.0
箱鸡蛋,4.52
散鸡蛋,4.8
生鸭蛋,7.2
熟鸭蛋,8.2
松花蛋,7.0
鹅蛋,12.0
鹌鹑蛋,8.3
柴鸡蛋,4.66
乌鸡蛋,8.0
鸵鸟蛋,90.0
鸽子蛋,2.7
鲤鱼,7.0
鲤鱼,7.0
草鱼,8.5
草鱼,8.5
鲫鱼,11.5
鲫鱼,12.0
鲫鱼,12.5
胖头鱼,12.5
胖头鱼,12.0
武昌鱼,12.0
鲢鱼,4.5
鲢鱼,4.0
鲶鱼,4.5
松花鱼,13.0
黑鱼,11.0
羊角蜜,2.3
白糖罐,2.0
景甜甜瓜,2.5
花蕾甜瓜,3.0
绿宝甜瓜,2.0
博阳,2.0
富士,2.6
富士,4.5
富士,2.4
黄元帅,4.0
花牛,3.0
阿克苏,4.0
国光,2.0
阳光玫瑰,22.0
玫瑰香,10.0
郁金香,10.0
乒乓球,8.0
红提,10.0
黑提,9.0
青提,7.0
山楂,3.5
姑娘果（灯笼果）,7.0
鸭梨,3.3
雪花梨,3.0
皇冠梨,4.0
丰水梨,4.2
酥梨,3.3
库尔勒香梨,4.2
红啤梨,5.0
耙耙柑,4.0
伦晚脐橙,3.0
沃柑,5.0
金桔,4.0
油桃,5.0
蟠桃,4.0
黄油桃,7.0
黄毛桃,8.0
春雪,8.0
猕猴桃,5.5
猕猴桃,4.5
海米,25.0
香菇,28.0
花菇,40.0
木耳,38.0
银耳,26.0
黄花菜,25.0
紫菜,45.0
梅菜,8.0
新一代干辣椒,12.0
子弹头干辣椒,13.0
灯笼椒,16.0
辣椒王,15.0
辣椒面,12.0
大料,25.0
花椒,30.0
肉蔻,35.0
丁香,30.0
良姜,13.0
生姜片,14.0
香叶,12.0
黑鱼,15.0
黄鳝,32.0
黄鳝,35.0
罗非鱼,11.0
虹鳟鱼,23.0
鲟鱼,16.0
青鱼,12.0
桂鱼,40.0
嘎鱼,22.0
嘎鱼,23.0
淡水鲈鱼,23.0
泥鳅,12.0
清江鱼,15.8
多宝鱼,27.0
黄花鱼,16.0
黄花鱼,16.0
黄花鱼,17.5
平鱼,7.0
平鱼,12.0
平鱼,24.0
后臀尖,9.5
后臀尖,8.5
五花肉,13.5
五花肉,12.5
五花头,9.5
纯通脊,12.0
通脊,9.0
小里脊,13.0
梅花肉,10.5
纯瘦肉,11.0
护心肉,13.0
前肘,8.0
后肘（带骨）,6.0
后肘（去骨）,7.0
猪尾巴,40.0
猪蹄,22.0
纯排骨,21.0
纯腔骨,7.0
腔排骨,13.0
梅花骨,9.0
巨峰,7.0
小台农,6.5
大台农,7.5
青皮芒果,4.0
贵妃芒,6.0
澳芒,8.0
水仙芒果,5.5
妃子笑,6.5
荔枝王,28.0
红灯,9.0
水晶,15.0
美国红,15.0
美早,20.0
布鲁克斯,14.0
先锋,15.0
沙蜜托,13.0
白条猪,10.15
白条猪,8.8
前臀尖,9.5
前臀尖,8.5
兴安盟魏佳长粒香,2.6
兴安盟魏佳大米,2.5
古船富强粉,2.1
古船富强粉,1.98
古船标准粉,1.9
五得利富强粉,2.2
五得利富强粉,1.96
五得利特精粉,2.0
五得利标准粉,1.88
五得利雪花粉,2.24
元宝特精粉,2.0
元宝富强粉,1.98
好面缘面粉,2.1
小米,6.0
南方江米,2.8
北方江米,2.8
黑香米,4.0
紫米,3.5
麦仁,2.9
薏仁米,6.0
韭黄,10.0
法香,7.5
豆尖,8.5
秋葵,11.0
甜豆,10.0
龙豆,48.0
凉瓜,8.0
银芽,8.0
南姜,6.5
沙葁,10.0
苤蓝,5.0
番杏,9.5
夹豆,11.0
荔浦芋头,7.0
香芋头,4.0
鲜竹笋,6.0
黄花菜,20.0
紫菜头,5.0
紫豇豆,45.0
仙人掌,32.0
松花江秋天小町米,2.2
亮珠河稻花香米,3.5
古船东北粳米,2.1
东北大米,2.5
田满村稻花香米,2.9
亮珠河珍珠米,2.1
古船大米,2.36
